UPDATE ITEM: User role: employee, Claims: {'fresh': False, 'iat': 1770101795, 'jti': 'ee7add31-2c19-4e95-a3ee-a6e944cb9e7b', 'type': 'access', 'sub': '8', 'nbf': 1770101795, 'csrf': '07787185-1190-4a55-9cd4-a894b0c63a5f', 'exp': 1770102695, 'role': 'employee'}
GET ORDERS: User role: cafeteria_admin, Claims: {'fresh': False, 'iat': 1770103939, 'jti': 'ef9be725-bcd7-42d1-8666-2dd450c950ce', 'type': 'access', 'sub': '1', 'nbf': 1770103939, 'csrf': '9c49abd8-3005-427a-83a7-360bae94c503', 'exp': 1770104839, 'role': 'cafeteria_admin'}
GET ORDERS: User role: cafeteria_admin, Claims: {'fresh': False, 'iat': 1770103939, 'jti': 'ef9be725-bcd7-42d1-8666-2dd450c950ce', 'type': 'access', 'sub': '1', 'nbf': 1770103939, 'csrf': '9c49abd8-3005-427a-83a7-360bae94c503', 'exp': 1770104839, 'role': 'cafeteria_admin'}
GET ORDERS: User role: cafeteria_admin, Claims: {'fresh': False, 'iat': 1770109598, 'jti': '5251623b-7d79-4e01-8190-10f8ad977927', 'type': 'access', 'sub': '1', 'nbf': 1770109598, 'csrf': '9092720c-512b-4e4a-bc06-ef03f00f5775', 'exp': 1770110498, 'role': 'cafeteria_admin'}
GET ORDERS: User role: cafeteria_admin, Claims: {'fresh': False, 'iat': 1770109598, 'jti': '5251623b-7d79-4e01-8190-10f8ad977927', 'type': 'access', 'sub': '1', 'nbf': 1770109598, 'csrf': '9092720c-512b-4e4a-bc06-ef03f00f5775', 'exp': 1770110498, 'role': 'cafeteria_admin'}
GET ORDERS: User role: cafeteria_admin, Claims: {'fresh': False, 'iat': 1770109598, 'jti': '5251623b-7d79-4e01-8190-10f8ad977927', 'type': 'access', 'sub': '1', 'nbf': 1770109598, 'csrf': '9092720c-512b-4e4a-bc06-ef03f00f5775', 'exp': 1770110498, 'role': 'cafeteria_admin'}
GET ORDERS: User role: cafeteria_admin, Claims: {'fresh': False, 'iat': 1770109598, 'jti': '5251623b-7d79-4e01-8190-10f8ad977927', 'type': 'access', 'sub': '1', 'nbf': 1770109598, 'csrf': '9092720c-512b-4e4a-bc06-ef03f00f5775', 'exp': 1770110498, 'role': 'cafeteria_admin'}
GET ORDERS: User role: cafeteria_admin, Claims: {'fresh': False, 'iat': 1770109598, 'jti': '5251623b-7d79-4e01-8190-10f8ad977927', 'type': 'access', 'sub': '1', 'nbf': 1770109598, 'csrf': '9092720c-512b-4e4a-bc06-ef03f00f5775', 'exp': 1770110498, 'role': 'cafeteria_admin'}
GET ORDERS: User role: cafeteria_admin, Claims: {'fresh': False, 'iat': 1770109598, 'jti': '5251623b-7d79-4e01-8190-10f8ad977927', 'type': 'access', 'sub': '1', 'nbf': 1770109598, 'csrf': '9092720c-512b-4e4a-bc06-ef03f00f5775', 'exp': 1770110498, 'role': 'cafeteria_admin'}
GET ORDERS: User role: cafeteria_admin, Claims: {'fresh': False, 'iat': 1770109598, 'jti': '5251623b-7d79-4e01-8190-10f8ad977927', 'type': 'access', 'sub': '1', 'nbf': 1770109598, 'csrf': '9092720c-512b-4e4a-bc06-ef03f00f5775', 'exp': 1770110498, 'role': 'cafeteria_admin'}
GET ORDERS: User role: cafeteria_admin, Claims: {'fresh': False, 'iat': 1770109598, 'jti': '5251623b-7d79-4e01-8190-10f8ad977927', 'type': 'access', 'sub': '1', 'nbf': 1770109598, 'csrf': '9092720c-512b-4e4a-bc06-ef03f00f5775', 'exp': 1770110498, 'role': 'cafeteria_admin'}
GET ORDERS: User role: cafeteria_admin, Claims: {'fresh': False, 'iat': 1770114552, 'jti': '0143911b-1c78-4aa5-be54-edac4ba9123f', 'type': 'access', 'sub': '1', 'nbf': 1770114552, 'csrf': 'f7c6d432-909a-47ef-91ac-22f0ef181aac', 'exp': 1770115452, 'role': 'cafeteria_admin'}
GET ORDERS: User role: cafeteria_admin, Claims: {'fresh': False, 'iat': 1770114552, 'jti': '0143911b-1c78-4aa5-be54-edac4ba9123f', 'type': 'access', 'sub': '1', 'nbf': 1770114552, 'csrf': 'f7c6d432-909a-47ef-91ac-22f0ef181aac', 'exp': 1770115452, 'role': 'cafeteria_admin'}
GET ORDERS: User role: cafeteria_admin, Claims: {'fresh': False, 'iat': 1770114552, 'jti': '0143911b-1c78-4aa5-be54-edac4ba9123f', 'type': 'access', 'sub': '1', 'nbf': 1770114552, 'csrf': 'f7c6d432-909a-47ef-91ac-22f0ef181aac', 'exp': 1770115452, 'role': 'cafeteria_admin'}
GET ORDERS: User role: desk_admin, Claims: {'fresh': False, 'iat': 1770117133, 'jti': 'ad378ab8-ed69-415d-aa6c-6c13dae291bb', 'type': 'access', 'sub': '33', 'nbf': 1770117133, 'csrf': '2864db98-aebb-4c4b-b833-d86a68aabeae', 'exp': 1770118033, 'role': 'desk_admin'}
GET ORDERS: User role: desk_admin, Claims: {'fresh': False, 'iat': 1770117221, 'jti': 'b8dca3be-97cf-4453-b78e-8ed6930ae3c7', 'type': 'access', 'sub': '33', 'nbf': 1770117221, 'csrf': '868c8625-afcb-4c6b-8295-02b424e324f6', 'exp': 1770118121, 'role': 'desk_admin'}
GET ORDERS: User role: desk_admin, Claims: {'fresh': False, 'iat': 1770117351, 'jti': '39159a42-0dca-4294-8382-d11aecc7fc18', 'type': 'access', 'sub': '33', 'nbf': 1770117351, 'csrf': 'c9fb1f5f-b3a9-43b2-8be9-a657c7cbd86e', 'exp': 1770118251, 'role': 'desk_admin'}
GET ORDERS: User role: desk_admin, Claims: {'fresh': False, 'iat': 1770117426, 'jti': '60b97419-2833-4204-b875-6c90abd55e1a', 'type': 'access', 'sub': '33', 'nbf': 1770117426, 'csrf': 'ae928347-2755-42ff-93a8-5662bb900b88', 'exp': 1770118326, 'role': 'desk_admin'}
GET ORDERS: User role: desk_admin, Claims: {'fresh': False, 'iat': 1770117487, 'jti': '4e121cee-2095-4c1c-b913-cc72124e6cbc', 'type': 'access', 'sub': '33', 'nbf': 1770117487, 'csrf': '38474bea-121e-415d-8300-dddf7532b165', 'exp': 1770118387, 'role': 'desk_admin'}
GET ORDERS: User role: cafeteria_admin, Claims: {'fresh': False, 'iat': 1770184020, 'jti': '58ddd747-2bbf-4a1e-a7b2-d582689191af', 'type': 'access', 'sub': '1', 'nbf': 1770184020, 'csrf': 'd124961a-b927-4824-bbc4-fae2d618e864', 'exp': 1770184920, 'role': 'cafeteria_admin'}
GET ORDERS: User role: cafeteria_admin, Claims: {'fresh': False, 'iat': 1770184020, 'jti': '58ddd747-2bbf-4a1e-a7b2-d582689191af', 'type': 'access', 'sub': '1', 'nbf': 1770184020, 'csrf': 'd124961a-b927-4824-bbc4-fae2d618e864', 'exp': 1770184920, 'role': 'cafeteria_admin'}
GET ORDERS: User role: cafeteria_admin, Claims: {'fresh': False, 'iat': 1770187353, 'jti': '2753d25d-dafc-4524-871f-6d57647bea0b', 'type': 'access', 'sub': '1', 'nbf': 1770187353, 'csrf': 'f48ce72e-4238-4581-9c69-d5641b362213', 'exp': 1770188253, 'role': 'cafeteria_admin'}
GET ORDERS: User role: cafeteria_admin, Claims: {'fresh': False, 'iat': 1770187353, 'jti': '2753d25d-dafc-4524-871f-6d57647bea0b', 'type': 'access', 'sub': '1', 'nbf': 1770187353, 'csrf': 'f48ce72e-4238-4581-9c69-d5641b362213', 'exp': 1770188253, 'role': 'cafeteria_admin'}
GET ORDERS: User role: cafeteria_admin, Claims: {'fresh': False, 'iat': 1770187353, 'jti': '2753d25d-dafc-4524-871f-6d57647bea0b', 'type': 'access', 'sub': '1', 'nbf': 1770187353, 'csrf': 'f48ce72e-4238-4581-9c69-d5641b362213', 'exp': 1770188253, 'role': 'cafeteria_admin'}
GET ORDERS: User role: cafeteria_admin, Claims: {'fresh': False, 'iat': 1770187353, 'jti': '2753d25d-dafc-4524-871f-6d57647bea0b', 'type': 'access', 'sub': '1', 'nbf': 1770187353, 'csrf': 'f48ce72e-4238-4581-9c69-d5641b362213', 'exp': 1770188253, 'role': 'cafeteria_admin'}
GET ORDERS: User role: desk_admin, Claims: {'fresh': False, 'iat': 1770193261, 'jti': '4d670919-c1b6-4c46-b20f-a72770714079', 'type': 'access', 'sub': '45', 'nbf': 1770193261, 'csrf': 'b448ad6f-11ba-44b6-8847-83840e5c655d', 'exp': 1770194161, 'role': 'desk_admin'}
GET ORDERS: User role: desk_admin, Claims: {'fresh': False, 'iat': 1770193290, 'jti': 'f56de4da-2239-4f9b-8a18-95d741ac7d42', 'type': 'access', 'sub': '45', 'nbf': 1770193290, 'csrf': 'bd3d5c36-047f-410d-85a0-d0406459e5fd', 'exp': 1770194190, 'role': 'desk_admin'}
GET ORDERS: User role: cafeteria_admin, Claims: {'fresh': False, 'iat': 1770198396, 'jti': '6eeab2df-a2be-43db-a34b-3d77dcac1215', 'type': 'access', 'sub': '1', 'nbf': 1770198396, 'csrf': '96782e33-1d73-43e2-af24-c090b445ff60', 'exp': 1770199296, 'role': 'cafeteria_admin'}
GET ORDERS: User role: cafeteria_admin, Claims: {'fresh': False, 'iat': 1770198396, 'jti': '6eeab2df-a2be-43db-a34b-3d77dcac1215', 'type': 'access', 'sub': '1', 'nbf': 1770198396, 'csrf': '96782e33-1d73-43e2-af24-c090b445ff60', 'exp': 1770199296, 'role': 'cafeteria_admin'}
